"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Eduardo Mondlane","Mar","Tratados_ACTs","LR","NEP_FISICO",2620,3858,1.47251908396947,1.40087266600904,1.5480140666415,"low",-0.472519083969466
"Eduardo Mondlane","May","Tratados_ACTs","LR","NEP_FISICO",2582,3466,1.3423702556158,1.2753164529192,1.41308538179459,"low",-0.342370255615802
"HD Gondola","Apr","Tratados_ACTs","LR","NEP_FISICO",3444,4776,1.38675958188153,1.32703086167515,1.44929037737628,"low",-0.386759581881533
"HD Gondola","Feb","Tratados_ACTs","LR","NEP_FISICO",2538,4763,1.87667454688731,1.78804145207828,1.9700533242944,"low",-0.876674546887313
"HD Gondola","Jul","Tratados_ACTs","LR","NEP_FISICO",2221,3292,1.4822152183701,1.40412178346697,1.56487526136712,"low",-0.482215218370104
"HD Gondola","Jun","Tratados_ACTs","LR","NEP_FISICO",3122,3897,1.24823830877643,1.19053009488704,1.30882472199001,"medium",-0.248238308776425
"HD Gondola","Mar","Tratados_ACTs","LR","NEP_FISICO",1811,2891,1.59635560463832,1.50476653218247,1.69386050732345,"low",-0.596355604638321
"HD Gondola","May","Tratados_ACTs","LR","NEP_FISICO",4385,4309,0.98266818700114,0.941992200069148,1.02509660405558,"high",0.0173318129988598
"HD Manica","Apr","Tratados_ACTs","LR","NEP_FISICO",3189,5707,1.78958921291941,1.71339332514364,1.86942415120139,"low",-0.78958921291941
"HD Manica","Jul","Tratados_ACTs","LR","NEP_FISICO",923,2722,2.94907908992416,2.73591129387923,3.18109747101173,"low",-1.94907908992416
"HD Manica","Mar","Tratados_ACTs","LR","NEP_FISICO",1826,5910,3.23658269441402,3.07058201125476,3.41281459412917,"low",-2.23658269441402
"HD Manica","May","Tratados_ACTs","LR","NEP_FISICO",2573,4440,1.72561212592305,1.64344170992747,1.81217865420334,"low",-0.725612125923047
"HR Nhamatanda","Apr","Tratados_ACTs","LR","NEP_FISICO",1031,1039,1.00775945683802,0.923675492637061,1.09950587787546,"high",-0.00775945683802134
"HR Nhamatanda","Feb","Tratados_ACTs","LR","NEP_FISICO",555,649,1.16936936936937,1.04247740751491,1.31205048815889,"high",-0.169369369369369
"HR Nhamatanda","Jul","Tratados_ACTs","LR","NEP_FISICO",973,883,0.907502569373073,0.827545480757222,0.995081593504177,"high",0.092497430626927
"HR Nhamatanda","Jun","Tratados_ACTs","LR","NEP_FISICO",1052,1428,1.3574144486692,1.25262661618369,1.47133167250395,"low",-0.357414448669202
"HR Nhamatanda","Mar","Tratados_ACTs","LR","NEP_FISICO",447,467,1.04474272930649,0.915693946547492,1.19209394249441,"high",-0.0447427293064877
"HR Nhamatanda","May","Tratados_ACTs","LR","NEP_FISICO",1335,1501,1.12434456928839,1.04372589497245,1.21128906707776,"high",-0.12434456928839
"CS Muanza Sede","May","Obitos","LR","NEP_FISICO",4,3,0.75,0.109863474663122,4.43325988918238,"high",0.25
"HD Gondola","Jul","Obitos","LR","NEP_FISICO",3,2,0.666666666666667,0.0556818890072143,5.81975657896078,"high",0.333333333333333
"HD Gondola","Jun","Obitos","LR","NEP_FISICO",4,1,0.25,0.00507640309029595,2.52631610868175,"high",0.75
"HD Gondola","Mar","Obitos","LR","NEP_FISICO",6,3,0.5,0.0809112102399224,2.34118449087655,"high",0.5
"HD Manica","Apr","Obitos","LR","NEP_FISICO",1,1,1,0.0127393670836666,78.4968353162628,"high",0
"HD Manica","May","Obitos","LR","NEP_FISICO",2,1,0.5,0.00847498034911153,9.60452988472286,"high",0.5
"HR Nhamatanda","Apr","Obitos","LR","NEP_FISICO",1,4,4,0.395833283318533,196.989872989321,"high",-3
"HR Nhamatanda","Mar","Obitos","LR","NEP_FISICO",1,3,3,0.240880227829262,157.492088274811,"high",-2
"CS Cheadeia","Feb","Testados","LR","SIS_MA",124,135,1.08870967741935,0.846809859742923,1.40069434840678,"high",-0.0887096774193548
"CS Cheadeia","Jul","Testados","LR","SIS_MA",159,167,1.05031446540881,0.840191735619206,1.31340431344221,"high",-0.050314465408805
"CS Cheadeia","Jun","Testados","LR","SIS_MA",168,168,1,0.802628094896048,1.2459070475592,"high",0
"CS Cheadeia","Mar","Testados","LR","SIS_MA",197,185,0.939086294416244,0.764165196728197,1.15364968945816,"high",0.0609137055837563
"CS Cheadeia","May","Testados","LR","SIS_MA",210,180,0.857142857142857,0.698474465475908,1.05098154902143,"high",0.142857142857143
"CS Dondo","Apr","Testados","LR","SIS_MA",2073,6195,2.98842257597685,2.84296700645643,3.14230034842864,"low",-1.98842257597685
"CS Dondo","Feb","Testados","LR","SIS_MA",1205,2334,1.93692946058091,1.80605479243986,2.07810684508373,"low",-0.936929460580913
"CS Dondo","Jul","Testados","LR","SIS_MA",1378,3410,2.47460087082729,2.32382922680137,2.63626987775774,"low",-1.47460087082729
"CS Dondo","Jun","Testados","LR","SIS_MA",832,3065,3.68389423076923,3.4110399387937,3.9820092566172,"low",-2.68389423076923
"CS Dondo","Mar","Testados","LR","SIS_MA",1077,3812,3.53946146703807,3.30709273821808,3.79063365576058,"low",-2.53946146703807
"CS Dondo","May","Testados","LR","SIS_MA",1319,5383,4.08112206216831,3.84188247953194,4.33768510553814,"low",-3.08112206216831
"CS Inchope","Apr","Testados","LR","SIS_MA",1359,1273,0.936718175128771,0.867093484243552,1.01188392699928,"high",0.0632818248712288
"CS Inchope","Feb","Testados","LR","SIS_MA",224,1611,7.19196428571429,6.25014166687554,8.30812093290573,"low",-6.19196428571429
"CS Inchope","Jul","Testados","LR","SIS_MA",596,1012,1.69798657718121,1.53303537425752,1.88198083481766,"low",-0.697986577181208
"CS Inchope","Jun","Testados","LR","SIS_MA",1027,1182,1.15092502434275,1.05771128781073,1.25251163328781,"high",-0.150925024342746
"CS Inchope","Mar","Testados","LR","SIS_MA",567,1056,1.86243386243386,1.68015833817441,2.0661676167662,"low",-0.862433862433862
"CS Inchope","May","Testados","LR","SIS_MA",1002,1852,1.84830339321357,1.7106255557923,1.99796385192731,"low",-0.848303393213573
"CS Mafambisse","Apr","Testados","LR","SIS_MA",2795,3562,1.27441860465116,1.21249632226309,1.33960356487859,"low",-0.274418604651163
"CS Mafambisse","Feb","Testados","LR","SIS_MA",2002,2633,1.31518481518482,1.24045266488114,1.39458222819597,"low",-0.315184815184815
"CS Mafambisse","Jul","Testados","LR","SIS_MA",1871,2419,1.29289150187066,1.21667657144017,1.37404326732242,"low",-0.292891501870657
"CS Mafambisse","Jun","Testados","LR","SIS_MA",1953,2471,1.26523297491039,1.19184971356451,1.34327534633311,"medium",-0.265232974910394
"CS Mafambisse","Mar","Testados","LR","SIS_MA",1535,2212,1.44104234527687,1.34959145161553,1.53899072487949,"low",-0.441042345276873
"CS Mafambisse","May","Testados","LR","SIS_MA",2510,3367,1.34143426294821,1.27348213726722,1.41315169295288,"low",-0.341434262948207
"CS Mascarenhas","Apr","Testados","LR","SIS_MA",202,983,4.86633663366337,4.17847163837014,5.69028510521306,"low",-3.86633663366337
"CS Mascarenhas","Feb","Testados","LR","SIS_MA",172,751,4.36627906976744,3.69488592192458,5.18354639846175,"low",-3.36627906976744
"CS Mascarenhas","Jul","Testados","LR","SIS_MA",578,1201,2.07785467128028,1.88000959794846,2.29857551635231,"low",-1.07785467128028
"CS Mascarenhas","Jun","Testados","LR","SIS_MA",848,1199,1.41391509433962,1.29379638698446,1.54571465344908,"low",-0.413915094339623
"CS Mascarenhas","Mar","Testados","LR","SIS_MA",460,874,1.9,1.69520728222444,2.1317350341458,"low",-0.9
"CS Mascarenhas","May","Testados","LR","SIS_MA",620,814,1.31290322580645,1.18119975383386,1.45985232937373,"medium",-0.312903225806452
"CS Messica","Apr","Testados","LR","SIS_MA",5379,3561,0.66201896263246,0.634394929091925,0.690782364821234,"low",0.33798103736754
"CS Messica","Feb","Testados","LR","SIS_MA",3581,3759,1.04970678581402,1.00247968000318,1.09917287339555,"high",-0.0497067858140184
